id_review,nama_produk,nama_pelanggan,email_pelanggan,bintang,ulasan,tanggal_review
15,Bearing Ball,Sandro Putra,sandro.p@yahoo.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-05-05
16,Bearing Ball,Hani Pertiwi,hani.p@hotmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-12-18
17,Bearing Ball,Hilda Wahyuni,hilda.w@hotmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-01-29
18,Bearing Ball,Qori Amalia,qori.a@hotmail.com,3,Material oke tapi proses pemasangan agak tricky.,2024-05-17
19,Bearing Ball,Hendra Wijaya,hendra.w@hotmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-12-01
20,Bearing Ball,Zulfa Aulia,zulfa.a@outlook.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-05-15
21,BB Ball Bearing,Eka Saputra,eka.s@hotmail.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-10-26
22,BB Ball Bearing,Qira Wulandari,qira.w@outlook.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-04-22
23,BB Ball Bearing,Eka Saputra,eka.s@gmail.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-01-25
24,BB Ball Bearing,Bagas Setiawan,bagas.s@yahoo.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-12-14
25,BB Ball Bearing,Qira Wulandari,qira.w@outlook.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-11-01
26,BB Ball Bearing,Victor Halim,victor.h@gmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-02-28
27,BB Ball Bearing,Xena Putri,xena.p@hotmail.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-02-27
28,BB Ball Bearing,Zahra Amini,zahra.a@outlook.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-05-14
29,BB Ball Bearing,Aldo Pratama,aldo.p@gmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-11-23
30,BB Ball Bearing,Aldo Pratama,aldo.p@yahoo.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-03-23
31,Headset Ball Bearings,Fauzan Hidayat,fauzan.h@gmail.com,1,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-09-07
32,Headset Ball Bearings,Andi Pratama,andi.p@hotmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-06-06
33,Headset Ball Bearings,Rafi Aldiansyah,rafi.a@gmail.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-09-05
34,Headset Ball Bearings,Hendra Wijaya,hendra.w@yahoo.com,1,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-12-03
35,Headset Ball Bearings,Wati Susanti,wati.s@yahoo.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-09-27
36,Headset Ball Bearings,Nina Kartika,nina.k@yahoo.com,4,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-12-19
37,Headset Ball Bearings,Mira Handayani,mira.h@outlook.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-08-12
38,Headset Ball Bearings,Cinta Melati,cinta.m@yahoo.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-02-02
39,Headset Ball Bearings,Fahmi Ardiansyah,fahmi.a@yahoo.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-04-22
40,Headset Ball Bearings,Budi Santoso,budi.s@gmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-02-04
41,Blade,Reza Maulana,reza.m@gmail.com,2,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-05-22
42,Blade,Vira Anggraeni,vira.a@yahoo.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-10-19
43,Blade,Jaka Samudra,jaka.s@outlook.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-07-27
44,Blade,Lutfi Rahman,lutfi.r@outlook.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-08-04
45,Blade,Omar Siddiq,omar.s@gmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-11-30
46,Blade,Sandro Putra,sandro.p@outlook.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-06-22
47,Blade,Yuni Astuti,yuni.a@yahoo.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-08-17
48,Blade,Eka Saputra,eka.s@hotmail.com,4,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-05-07
49,Blade,Maya Putri,maya.p@gmail.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-11-29
50,Blade,Fauzan Hidayat,fauzan.h@gmail.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-03-26
51,LL Crankarm,Omar Siddiq,omar.s@yahoo.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-01-31
52,LL Crankarm,Irwan Saputro,irwan.s@outlook.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-08-20
53,LL Crankarm,Yoga Pratama,yoga.p@outlook.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-04-07
54,LL Crankarm,Zahra Amini,zahra.a@gmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-10-04
55,LL Crankarm,Lina Susanti,lina.s@gmail.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-10-26
56,LL Crankarm,Xander Pratama,xander.p@yahoo.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-09-17
57,LL Crankarm,Rizki Hamdani,rizki.h@gmail.com,2,Produk cepat rusak setelah pemakaian singkat. Tidak recommended.,2024-12-11
58,LL Crankarm,Rafi Aldiansyah,rafi.a@yahoo.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-10-31
59,LL Crankarm,Indah Permata,indah.p@outlook.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-10-25
60,LL Crankarm,Ivan Kurniawan,ivan.k@hotmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-12-08
61,ML Crankarm,Bella Anggraini,bella.a@hotmail.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-03-08
62,ML Crankarm,Vira Anggraeni,vira.a@outlook.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-02-07
63,ML Crankarm,Dewi Rahayu,dewi.r@gmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-10-02
64,ML Crankarm,Ola Puspita,ola.p@yahoo.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-02-05
65,ML Crankarm,Salsa Nabila,salsa.n@yahoo.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-10-05
66,ML Crankarm,Aditya Nugraha,aditya.n@gmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-10-10
67,ML Crankarm,Agus Salim,agus.s@gmail.com,2,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-05-15
68,ML Crankarm,Bagas Setiawan,bagas.s@yahoo.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-05-24
69,ML Crankarm,Nina Kartika,nina.k@hotmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-12-17
70,ML Crankarm,Rika Purnama,rika.p@outlook.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-01-27
71,HL Crankarm,Nanda Kurnia,nanda.k@hotmail.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-01-02
72,HL Crankarm,Evi Susanti,evi.s@hotmail.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-08-14
73,HL Crankarm,Gilang Saputra,gilang.s@gmail.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-02-08
74,HL Crankarm,Yola Safitri,yola.s@gmail.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-10-25
75,HL Crankarm,Gilang Saputra,gilang.s@yahoo.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-06-06
76,HL Crankarm,Indra Setiawan,indra.s@gmail.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-04-17
77,HL Crankarm,Xena Putri,xena.p@gmail.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-10-13
78,HL Crankarm,Omar Siddiq,omar.s@yahoo.com,1,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-03-24
79,HL Crankarm,Joko Purnomo,joko.p@gmail.com,2,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-06-19
80,HL Crankarm,Omar Siddiq,omar.s@yahoo.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-03-22
81,Chainring Bolts,Zaki Mubarak,zaki.m@gmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-04-23
82,Chainring Bolts,Mira Handayani,mira.h@outlook.com,3,"Biasa saja, tapi harga terjangkau jadi tidak terlalu kecewa.",2024-06-05
83,Chainring Bolts,Qori Amalia,qori.a@yahoo.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-06-17
84,Chainring Bolts,Winda Kurniawati,winda.k@hotmail.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-11-24
85,Chainring Bolts,Bintang Nugraha,bintang.n@hotmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-02-29
86,Chainring Bolts,Ulfa Rohmah,ulfa.r@hotmail.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-02-25
87,Chainring Bolts,Miko Andrianto,miko.a@hotmail.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-11-06
88,Chainring Bolts,Bintang Nugraha,bintang.n@yahoo.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-01-23
89,Chainring Bolts,Aditya Nugraha,aditya.n@yahoo.com,4,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-08-08
90,Chainring Bolts,Hendra Wijaya,hendra.w@hotmail.com,2,"Tidak tahan lama, baru dipakai beberapa kali sudah rusak.",2024-12-05
91,Chainring Nut,Clara Dewi,clara.d@hotmail.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-12-07
92,Chainring Nut,Omar Siddiq,omar.s@hotmail.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-03-06
93,Chainring Nut,Lutfi Rahman,lutfi.r@outlook.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-03-30
94,Chainring Nut,Oscar Halim,oscar.h@outlook.com,4,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-01-01
95,Chainring Nut,Agus Salim,agus.s@outlook.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-10-23
96,Chainring Nut,Nina Kartika,nina.k@outlook.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-08-14
97,Chainring Nut,Wawan Hermawan,wawan.h@outlook.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-03-27
98,Chainring Nut,Udin Setiawan,udin.s@hotmail.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-04-30
99,Chainring Nut,Wawan Hermawan,wawan.h@yahoo.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-01-13
100,Chainring Nut,Indah Permata,indah.p@outlook.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-02-07
101,Chainring,Umi Kalsum,umi.k@yahoo.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-12-22
102,Chainring,Lisa Maharani,lisa.m@yahoo.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-12-01
103,Chainring,Yola Safitri,yola.s@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-08-05
104,Chainring,Pandu Wicaksono,pandu.w@outlook.com,5,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-10-12
105,Chainring,Salsa Nabila,salsa.n@gmail.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-03-09
106,Chainring,Victor Halim,victor.h@hotmail.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-11-09
107,Chainring,Candra Wijaya,candra.w@outlook.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-03-22
108,Chainring,Fira Ramadhani,fira.r@outlook.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-05-06
109,Chainring,Rika Purnama,rika.p@outlook.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-05-02
110,Chainring,Winda Kurniawati,winda.k@hotmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-05-19
111,Crown Race,Evi Susanti,evi.s@gmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-03-18
112,Crown Race,Qori Amalia,qori.a@yahoo.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-04-19
113,Crown Race,Hendra Wijaya,hendra.w@hotmail.com,4,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-08-26
114,Crown Race,Pita Sari,pita.s@outlook.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-10-26
115,Crown Race,Zaki Mubarak,zaki.m@outlook.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-01-04
116,Crown Race,Hafiz Ramadhan,hafiz.r@outlook.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-10-02
117,Crown Race,Fira Ramadhani,fira.r@yahoo.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-04-22
118,Crown Race,Vino Pratama,vino.p@gmail.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-06-21
119,Crown Race,Vira Anggraeni,vira.a@outlook.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-08-27
120,Crown Race,Doni Firmansyah,doni.f@gmail.com,1,Barang tidak sesuai spesifikasi yang tertera. Kecewa!,2024-10-30
121,Chain Stays,Ivan Kurniawan,ivan.k@gmail.com,3,Material oke tapi proses pemasangan agak tricky.,2024-03-10
122,Chain Stays,Victor Halim,victor.h@hotmail.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-06-16
123,Chain Stays,Ola Puspita,ola.p@hotmail.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-07-13
124,Chain Stays,Winda Kurniawati,winda.k@outlook.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-02-11
125,Chain Stays,Wati Susanti,wati.s@gmail.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-04-24
126,Chain Stays,Tasya Maharani,tasya.m@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-01-16
127,Chain Stays,Salsa Nabila,salsa.n@gmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-03-19
128,Chain Stays,Rafi Aldiansyah,rafi.a@gmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-04-21
129,Chain Stays,Victor Halim,victor.h@hotmail.com,3,"Sesuai deskripsi, tapi ekspektasi saya sedikit lebih tinggi.",2024-11-06
130,Chain Stays,Nina Kartika,nina.k@gmail.com,1,Kualitas jauh di bawah harga yang dipatok. Menyesal beli.,2024-06-08
131,Decal 1,Yuni Astuti,yuni.a@hotmail.com,4,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-12-12
132,Decal 1,Kevin Pratama,kevin.p@yahoo.com,5,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-10-30
133,Decal 1,Yola Safitri,yola.s@yahoo.com,3,"Lumayan bagus, tapi ada beberapa hal yang bisa diperbaiki.",2024-12-22
134,Decal 1,Irma Susanti,irma.s@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-10-16
135,Decal 1,Indah Permata,indah.p@outlook.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-07-08
136,Decal 1,Hendra Wijaya,hendra.w@hotmail.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-08-03
137,Decal 1,Yeni Rahma,yeni.r@hotmail.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-08-23
138,Decal 1,Aditya Nugraha,aditya.n@yahoo.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-09-24
139,Decal 1,Tasya Maharani,tasya.m@outlook.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-08-11
140,Decal 1,Dina Marlina,dina.m@hotmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-02-14
141,Decal 2,Winda Kurniawati,winda.k@yahoo.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-10-18
142,Decal 2,Oscar Halim,oscar.h@hotmail.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-09-10
143,Decal 2,Dedi Kurniawan,dedi.k@yahoo.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-05-12
144,Decal 2,Fahmi Ardiansyah,fahmi.a@hotmail.com,5,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-01-06
145,Decal 2,Cinta Melati,cinta.m@gmail.com,2,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-07-27
146,Decal 2,Yeni Rahma,yeni.r@yahoo.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-08-31
147,Decal 2,Sandro Putra,sandro.p@outlook.com,3,Produk cukup oke untuk harga segini. Tidak ada yang istimewa.,2024-02-17
148,Decal 2,Zahra Amini,zahra.a@yahoo.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-12-05
149,Decal 2,Kiki Rahmat,kiki.r@hotmail.com,5,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-10-08
150,Decal 2,Evi Susanti,evi.s@outlook.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-06-05
151,Down Tube,Tegar Prasetyo,tegar.p@yahoo.com,5,"Produk original, harga worth it. Teman-teman juga ikut beli.",2024-03-02
152,Down Tube,Fira Ramadhani,fira.r@yahoo.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-04-20
153,Down Tube,Edo Prasetyo,edo.p@hotmail.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-04-09
154,Down Tube,Zahra Amini,zahra.a@yahoo.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-01-08
155,Down Tube,Aditya Nugraha,aditya.n@hotmail.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-01-28
156,Down Tube,Gilang Saputra,gilang.s@yahoo.com,5,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-09-08
157,Down Tube,Yuni Astuti,yuni.a@hotmail.com,2,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-09-02
158,Down Tube,Sari Dewi,sari.d@gmail.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-09-01
159,Down Tube,Bagas Setiawan,bagas.s@outlook.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-02-07
160,Down Tube,Jaka Samudra,jaka.s@gmail.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-03-17
161,Mountain End Caps,Ivan Kurniawan,ivan.k@gmail.com,2,"Material terasa murahan, tidak sesuai foto di deskripsi.",2024-03-01
162,Mountain End Caps,Hilda Wahyuni,hilda.w@yahoo.com,3,Material oke tapi proses pemasangan agak tricky.,2024-08-18
163,Mountain End Caps,Sari Dewi,sari.d@outlook.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-10-18
164,Mountain End Caps,Putri Ayu,putri.a@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-04-16
165,Mountain End Caps,Qais Ramadhan,qais.r@gmail.com,5,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-05-02
166,Mountain End Caps,Joko Purnomo,joko.p@yahoo.com,4,"Produk sangat memuaskan, kualitas terjamin dan sesuai deskripsi!",2024-07-28
167,Mountain End Caps,Teguh Prasetyo,teguh.p@outlook.com,3,"Tidak buruk, tidak terlalu bagus. Cukup untuk kebutuhan.",2024-01-17
168,Mountain End Caps,Qori Amalia,qori.a@hotmail.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-08-20
169,Mountain End Caps,Maya Putri,maya.p@hotmail.com,3,"Kualitas standar, cocok untuk penggunaan sehari-hari biasa.",2024-08-05
170,Mountain End Caps,Bagas Setiawan,bagas.s@yahoo.com,4,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-03-13
171,Road End Caps,Maya Putri,maya.p@hotmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-10-18
172,Road End Caps,Yoga Pratama,yoga.p@outlook.com,4,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-06-04
173,Road End Caps,Zaki Mubarak,zaki.m@hotmail.com,4,"Material berkualitas tinggi, pemasangan mudah. Sangat memuaskan.",2024-10-03
174,Road End Caps,Zulfa Aulia,zulfa.a@gmail.com,4,Tidak menyesal beli produk ini. Kualitasnya jauh melebihi ekspektasi.,2024-06-14
175,Road End Caps,Nina Kartika,nina.k@gmail.com,5,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-12-11
176,Road End Caps,Jaka Samudra,jaka.s@gmail.com,4,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-12-10
177,Road End Caps,Vino Pratama,vino.p@yahoo.com,4,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-09-22
178,Road End Caps,Tasya Maharani,tasya.m@hotmail.com,4,"Kualitas premium, material terasa solid dan tahan lama. Recommended!",2024-10-26
179,Road End Caps,Rio Fernanda,rio.f@outlook.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-08-28
180,Road End Caps,Gita Permata,gita.p@hotmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-02-23
181,Touring End Caps,Hani Pertiwi,hani.p@outlook.com,5,"Sudah pakai 3 bulan, tidak ada masalah sama sekali. Beli lagi!",2024-12-05
182,Touring End Caps,Nela Puspita,nela.p@gmail.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-02-15
183,Touring End Caps,Cici Rahayu,cici.r@gmail.com,5,Kualitas jauh lebih baik dari yang saya bayangkan. Worth every rupiah!,2024-07-25
184,Touring End Caps,Bintang Nugraha,bintang.n@gmail.com,3,"Cukup fungsional, meski ada beberapa kekurangan minor.",2024-07-30
185,Touring End Caps,Fajar Nugroho,fajar.n@hotmail.com,5,Best purchase ever! Produk ini benar-benar memenuhi semua kebutuhan saya.,2024-09-12
186,Touring End Caps,Qais Ramadhan,qais.r@gmail.com,4,"Pas banget sama yang saya butuhkan, ukuran dan kualitas sesuai.",2024-05-16
187,Touring End Caps,Gilang Saputra,gilang.s@hotmail.com,5,Cocok banget untuk kebutuhan saya. Mantap dan terpercaya!,2024-12-23
188,Touring End Caps,Yeni Rahma,yeni.r@yahoo.com,5,"Sudah lama cari produk seperti ini, akhirnya ketemu yang tepat.",2024-03-22
189,Touring End Caps,Bayu Wibowo,bayu.w@outlook.com,4,"Barang bagus, pengiriman cepat. Sangat puas dengan pembelian ini.",2024-04-25
190,Touring End Caps,Bagas Setiawan,bagas.s@gmail.com,4,"Packaging rapi, produk mulus tidak ada cacat. Bintang 5 layak!",2024-03-19
191,Fork End,Zulfa Aulia,zulfa.a@hotmail.com,2,Pemasangan sangat susah dan hasilnya tidak memuaskan.,2024-07-31
192,Fork End,Xander Pratama,xander.p@yahoo.com,1,Kualitas kontrol perlu ditingkatkan. Produk cacat saat datang.,2024-10-09
